service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T4@3,0,0,0,0,0,0,1,20140117,20140417
10.51@2,0,0,0,0,0,1,0,20140117,20140417
10.51@5,0,0,0,0,0,0,0,20140117,20140417
T52@1,1,1,1,1,1,0,0,20140117,20140417
A143@1,1,1,1,1,1,0,0,20140117,20140417
149@3,0,0,0,0,0,0,1,20140117,20140417
177@1,1,1,1,1,1,0,0,20140117,20140417
179@1,1,1,1,1,1,0,0,20140117,20140417
180@1,1,1,1,1,1,0,0,20140117,20140417
184@2,0,0,0,0,0,1,0,20140117,20140417
184@5,0,0,0,0,0,0,0,20140117,20140417
216@3,0,0,0,0,0,0,1,20140117,20140417
R10@2,0,0,0,0,0,1,0,20140117,20140417
1102@1,1,1,1,1,1,0,0,20140117,20140417
A10@3,0,0,0,0,0,0,1,20140117,20140417
2141@1,1,1,1,1,1,0,0,20140117,20140417
A11@1,1,1,1,1,1,0,0,20140117,20140417
A17@5,0,0,0,0,0,0,0,20140117,20140417
A13@2,0,0,0,0,0,1,0,20140117,20140417
A13@5,0,0,0,0,0,0,0,20140117,20140417
251@1,1,1,1,1,1,0,0,20140117,20140417
254@3,0,0,0,0,0,0,1,20140117,20140417
2602@1,1,1,1,1,1,0,0,20140117,20140417
2632@1,1,1,1,1,1,0,0,20140117,20140417
A87@3,0,0,0,0,0,0,1,20140117,20140417
2682@2,0,0,0,0,0,1,0,20140117,20140417
2682@5,0,0,0,0,0,0,0,20140117,20140417
2671@2,0,0,0,0,0,1,0,20140117,20140417
2671@5,0,0,0,0,0,0,0,20140117,20140417
A741@2,0,0,0,0,0,1,0,20140117,20140417
2801@2,0,0,0,0,0,1,0,20140117,20140417
281@1,1,1,1,1,1,0,0,20140117,20140417
A86@1,1,1,1,1,1,0,0,20140117,20140417
03.3@2,0,0,0,0,0,1,0,20140117,20140417
T3@2,0,0,0,0,0,1,0,20140117,20140417
