service_id,date,exception_type
10.51@5,20131012,1
10.51@2,20131012,2
184@5,20131012,1
184@2,20131012,2
A17@5,20131012,1
A17@2,20131012,2
A13@5,20131012,1
A13@2,20131012,2
2682@5,20131012,1
2682@2,20131012,2
2671@5,20131012,1
2671@2,20131012,2
T11@5,20131012,1
T11@2,20131012,2
T1@5,20131012,1
T1@2,20131012,2
E10@5,20131012,1
E10@2,20131012,2
178@5,20131012,1
178@2,20131012,2
C80@5,20131012,1
C80@2,20131012,2
E6011@5,20131012,1
E6011@2,20131012,2
10.52@5,20131012,1
10.52@2,20131012,2
10.5@5,20131012,1
10.5@2,20131012,2
173@5,20131012,1
173@2,20131012,2
T52@5,20131012,1
T52@2,20131012,2
195@5,20131012,1
195@2,20131012,2
188@5,20131012,1
188@2,20131012,2
T2A@5,20131012,1
T2A@2,20131012,2
T3@5,20131012,1
T3@2,20131012,2
179@5,20131012,1
179@2,20131012,2
T6@5,20131012,1
T6@2,20131012,2
T4@5,20131012,1
T4@2,20131012,2
T9@5,20131012,1
T9@2,20131012,2
177@5,20131012,1
177@2,20131012,2
209@5,20131012,1
209@2,20131012,2
1491@5,20131012,1
1491@2,20131012,2
187@5,20131012,1
187@2,20131012,2
M10@5,20131012,1
M10@2,20131012,2
255@5,20131012,1
255@2,20131012,2
20.61@5,20131012,1
20.61@2,20131012,2
149@5,20131012,1
149@2,20131012,2
216@5,20131012,1
216@2,20131012,2
A395@5,20131012,1
A395@2,20131012,2
3141@5,20131012,1
3141@2,20131012,2
266@5,20131012,1
266@2,20131012,2
A14@5,20131012,1
A14@2,20131012,2
176@5,20131012,1
176@2,20131012,2
2821@5,20131012,1
2821@2,20131012,2
2541@5,20131012,1
2541@2,20131012,2
2441@5,20131012,1
2441@2,20131012,2
282@5,20131012,1
282@2,20131012,2
2602@5,20131012,1
2602@2,20131012,2
186@5,20131012,1
186@2,20131012,2
250@5,20131012,1
250@2,20131012,2
2701@5,20131012,1
2701@2,20131012,2
165@5,20131012,1
165@2,20131012,2
M79@5,20131012,1
M79@2,20131012,2
286@5,20131012,1
286@2,20131012,2
A69@5,20131012,1
A69@2,20131012,2
431@5,20131012,1
431@2,20131012,2
288@5,20131012,1
