route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
180,EPTC,180,DIARIO,,3,,007FD9,000000
1841,EPTC,1841,JUCA BATISTA VIA OSWALDO CRUZ,,3,,007FD9,000000
1861,EPTC,1861,LIBERAL (RETORNO ESCOLA),,3,,007FD9,000000
1102,EPTC,1102,RESTINGA NOVA VIA TRISTEZA / BARRA SHOPPING,,3,,007FD9,000000
211,EPTC,211,RESTINGA VELHA,,3,,007FD9,000000
A74,EPTC,A74,ALIMENTADORA CANTA GALO / EXTREMA,,3,,007FD9,000000
2672,EPTC,2672,LAMI(VIA BECO DA VITORIA),,3,,007FD9,000000
314,EPTC,314,PUC RESTINGA,,3,,05D600,000000
360,EPTC,360,I P E,,3,,05D600,000000
353,EPTC,353,IPIRANGA  /  PUC,,3,,CFD600,000000
3983,EPTC,3983,PINHEIRO  /  VIA IPIRANGA,,3,,05D600,000000
493,EPTC,493,JARDIM YPU,,3,,05D600,000000
4934,EPTC,4934,JARDIM YPU / PETRÓPOLIS,,3,,05D600,000000
610,EPTC,610,MINUANO,,3,,FF0000,000000
831,EPTC,831,PARQUE DOS MAIAS  /  CAIRU,,3,,FF0000,000000
6612,EPTC,6612,LEOPOLDINA / NOITE,,3,,FF0000,000000
637,EPTC,637,CHACARA DAS PEDRAS,,3,,FF0000,000000
C11,EPTC,C11,CIRCULAR CENTRO / SÁBADOS,,3,,CFD600,000000
C802,EPTC,C802,UNIRITTER ATE OTTO / WENCESLAU,,3,,007FD9,000000
209,EPTC,209,RESTINGA,,3,,007FD9,000000
2101,EPTC,2101,RESTINGA NOVA / DOMINGOS E FERIADOS,,3,,007FD9,000000
2561,EPTC,2561,NAZARETH,,3,,05D600,000000
2621,EPTC,2621,JARDIM V.NOVA(CASCATINHA),,3,,007FD9,000000
2632,EPTC,2632,ORFANOTROFIO / AZENHA,,3,,007FD9,000000
A68,EPTC,A68,LAMI ATE TERMINAL SAPOLANDIA,,3,,007FD9,000000
2685,EPTC,2685,BELEM NOVO ATÉ OTTO,,3,,007FD9,000000
2731,EPTC,2731,BELEM NOVO / HIPICA(VIA SCHNEIDER),,3,,007FD9,000000
2812,EPTC,2812,CAMPO NOVO / GEDEON LEITE,,3,,007FD9,000000
A360,EPTC,A360,ALIMENTADORA IPÊ / INTEGRAÇÃO,,3,,05D600,000000
3751,EPTC,3751,AGRONOMIA,,3,,05D600,000000
3942,EPTC,3942,MAPA  /  ATE TERMINAL AZENHA,,3,,05D600,000000
A992,EPTC,A992,P. DA BATALHA / QUIRINAS / CIRCULAR / ESCOLAR,,3,,05D600,000000
3982,EPTC,3982,PINHEIRO  /  ATE TERMINAL AZENHA,,3,,05D600,000000
494,EPTC,494,RUBEM BERTA  /  PROTASIO,,3,,05D600,000000
B251,EPTC,B251,A. FEIJO / HUMAITA / JOAO PARIS,,3,,FF0000,000000
6321,EPTC,6321,NOSSA SENHORA DE FÁTIMA / NOTURNA,,3,,FF0000,000000
B51,EPTC,B51,PARQUE  /  POSTAO IAPI / H CONCEICAO,,3,,FF0000,000000
7041,EPTC,7041,HUMAITA / A.J.RENNER / DONA TEODORA,,3,,FF0000,000000
2531,EPTC,2531,RENASCENÇA / DOMINGOS,,3,,007FD9,000000
A874,EPTC,A874,ALIMENTADORA RUA SCHNEIDER / BELÉM VELHO,,3,,007FD9,000000
2815,EPTC,2815,CAMPO NOVO VIA JORGE PEREIRA NUNES,,3,,007FD9,000000
R81,EPTC,R81,RÁPIDA CAMPO NOVO,,3,,007FD9,000000
A16,EPTC,A16,ALIM. DORIVAL C. MACHADO / PARQUE LAVOURA,,3,,007FD9,000000
4381,EPTC,4381,SANTANA / SABADOS / DOMINGOS / FERIADOS,,3,,05D600,000000
4763,EPTC,4763,PETROPOLIS  /  PUC (UNIBUS),,3,,05D600,000000
4931,EPTC,4931,JARDIM YPU  /  MAE APOLINARIA,,3,,05D600,000000
496,EPTC,496,JARDIM PROTASIO ALVES,,3,,05D600,000000
492,EPTC,492,PETROPOLIS  /  SESC,,3,,FF0000,000000
4951,EPTC,4951,MANOEL ELIAS / MORRO SANTANA,,3,,05D600,000000
611,EPTC,611,LINDOIA,,3,,FF0000,000000
6201,EPTC,6201,IGUATEMI  /  ELIZABETH,,3,,FF0000,000000
631,EPTC,631,PARQUE DOS MAIAS,,3,,FF0000,000000
6531,EPTC,6531,ITU COINMA / PROTASIO /  AV DO FORTE,,3,,FF0000,000000
855,EPTC,855,PROTASIO / CAIRU,,3,,FF0000,000000
701,EPTC,701,VILA FARRAPOS / VOLUNTARIOS,,3,,FF0000,000000
7561,EPTC,7561,PASSO DAS PEDRAS / CAIRÚ VIA SERTÓRIO,,3,,FF0000,000000
C31,EPTC,C31,CIRCULAR URCA / SABADOS / DOMINGOS / FERIADOS,,3,,CFD600,000000
T2,EPTC,T2,TRANSVERSAL 2,,3,,CFD600,000000
T51,EPTC,T51,TRANSVERSAL 5 / SABADOS / FERIADOS,,3,,CFD600,000000
179,EPTC,179,SERRARIA,,3,,007FD9,000000
110,EPTC,110,RESTINGA NOVA VIA TRISTEZA,,3,,007FD9,000000
R10,EPTC,R10,RAPIDA RESTINGA NOVA / CAVALHADA,,3,,007FD9,000000
271,EPTC,271,AMAPA,,3,,007FD9,000000
2631,EPTC,2631,ORFANOTROFIO / JARDIM MEDIANEIRA,,3,,007FD9,000000
2675,EPTC,2675,LAMI ATÉ CAVALHADA,,3,,007FD9,000000
2671,EPTC,2671,LAMI / VAREJAO(VIA EDGAR PIRES DE CASTRO),,3,,007FD9,000000
2722,EPTC,2722,MORADAS DA HÍPICA VIA SCHNEIDER,,3,,007FD9,000000
A86,EPTC,A86,BELÉM VELHO / CAVALHADA,,3,,007FD9,000000
345,EPTC,345,SANTA CATARINA,,3,,05D600,000000
3954,EPTC,3954,QUINTA DO PORTAL /  ANTONIO DE CARVALHO,,3,,05D600,000000
3973,EPTC,3973,BONSUCESSO  /  VIA IPIRANGA,,3,,05D600,000000
4943,EPTC,4943,RUBEM BERTA / PROTÁSIO / CIRCULAR NO BAIRRO,,3,,05D600,000000
5202,EPTC,5202,TRIANGULO / 24 DE OUTUBRO / IPA,,3,,FF0000,000000
7312,EPTC,7312,PARQUE DOS MAIAS / SERTORIO / DOMINGOS / FERIADOS,,3,,FF0000,000000
632,EPTC,632,NOSSA SENHORA DE FATIMA,,3,,FF0000,000000
652,EPTC,652,HOSPITAL,,3,,FF0000,000000
617,EPTC,617,IGUATEMI,,3,,FF0000,000000
B021,EPTC,B021,LEOPOLDINA / AEROPORTO / FAPA,,3,,FF0000,000000
6651,EPTC,6651,PLANALTO / SABARA VIA JARDIM EUROPA,,3,,FF0000,000000
704,EPTC,704,HUMAITA,,3,,FF0000,000000
T2A1,EPTC,T2A1,TRANSVERSAL 2 / A. J. RENNER,,3,,CFD600,000000
T4,EPTC,T4,TRANSVERSAL 4,,3,,CFD600,000000
1871,EPTC,1871,PADRE REUS  /  CORONEL MASSOT,,3,,007FD9,000000
A09,EPTC,A09,ALIMENTADORA RESTINGA NOVA 09,,3,,007FD9,000000
A13,EPTC,A13,SAO CAETANO (ALIMENTADORA),,3,,007FD9,000000
253,EPTC,253,RENASCENCA,,3,,007FD9,000000
170,EPTC,170,JARDIM DAS PALMEIRAS,,3,,007FD9,000000
A66,EPTC,A66,ALIMENTADORA 3 MENINAS,,3,,007FD9,000000
A691,EPTC,A691,ALIMENTADORA ESCOLAR LAMI / B NOVO,,3,,007FD9,000000
268,EPTC,268,BELEM NOVO(VIA CAVALHADA),,3,,007FD9,000000
2851,EPTC,2851,NONOAI / ERECHIM / COSTA LIMA,,3,,007FD9,000000
3943,EPTC,3943,MAPA  /  VIA IPIRANGA,,3,,05D600,000000
4292,EPTC,4292,PROTASIO / IGUATEMI / BECO DOS COQUEIROS,,3,,05D600,000000
439,EPTC,439,SAO MANOEL,,3,,05D600,000000
490,EPTC,490,MORRO SANTANA,,3,,05D600,000000
525,EPTC,525,RIO BRANCO  /  ANITA,,3,,CFD600,000000
T7,EPTC,T7,NILO / PRAIA DE BELAS,,3,,CFD600,000000
620,EPTC,620,IGUATEMI  /  V. JARDIM,,3,,FF0000,000000
6371,EPTC,6371,CHÁCARA DAS PEDRAS / ARARUAMA,,3,,FF0000,000000
705,EPTC,705,INDUSTRIAS,,3,,FF0000,000000
756,EPTC,756,PASSO DAS PEDRAS  /  SERTORIO,,3,,FF0000,000000
C1,EPTC,C1,CIRCULAR CENTRO,,3,,CFD600,000000
B011,EPTC,B011,RUBEM BERTA / FIERGS,,3,,FF0000,000000
T3,EPTC,T3,TRANSVERSAL 3,,3,,CFD600,000000
178,EPTC,178,PRAIA DE BELAS,,3,,007FD9,000000
195,EPTC,195,T V,,3,,007FD9,000000
3141,EPTC,3141,RESTINGA PUC,,3,,007FD9,000000
1101,EPTC,1101,RESTINGA NOVA VIA TRISTEZA / DOMINGOS E FERIADOS,,3,,007FD9,000000
2542,EPTC,2542,CANUDOS VIA OSCAR PEREIRA ATE TERM. AZENHA,,3,,007FD9,000000
2562,EPTC,2562,NAZARETH / INTENDENTE,,3,,05D600,000000
257,EPTC,257,PAULINO AZURENHA / AZENHA / CASCATINHA,,3,,05D600,000000
2682,EPTC,2682,BELEM NOVO / CHAPEU / GEDEON,,3,,007FD9,000000
2681,EPTC,2681,BELÉM NOVO / CHAPÉU DO SOL,,3,,007FD9,000000
274,EPTC,274,GLORIA / AZENHA / CASCATINHA,,3,,007FD9,000000
288,EPTC,288,IPANEMA  /  MORRO ALTO,,3,,007FD9,000000
A348,EPTC,A348,ALIM. JARDIM BENTO GONÇALVES / INTEGRAÇÃO,,3,,05D600,000000
3986,EPTC,3986,VIÇOSA(PINHEIRO),,3,,05D600,000000
R41,EPTC,R41,RAPIDA  -  PROTASIO,,3,,05D600,000000
A97,EPTC,A97,ALIMENTADORA JARDIM PROTASIO ALVES,,3,,05D600,000000
608,EPTC,608,IAPI,,3,,FF0000,000000
614,EPTC,614,LEAO,,3,,FF0000,000000
862,EPTC,862,RUBEM BERTA (CAIRU),,3,,FF0000,000000
6611,EPTC,6611,LEOPOLDINA (CHACARA DA FUMACA),,3,,FF0000,000000
665,EPTC,665,PLANALTO / SABARÁ,,3,,FF0000,000000
703,EPTC,703,VILA FARRAPOS,,3,,FF0000,000000
B09,EPTC,B09,AEROPORTO / IGUATEMI,,3,,FF0000,000000
1491,EPTC,1491,ICARAI(ALTO TAQUARI),,3,,007FD9,000000
280,EPTC,280,OTTO / HPS,,3,,007FD9,000000
A10,EPTC,A10,ALIMENTADORA RESTINGA NOVA 10,,3,,007FD9,000000
A11,EPTC,A11,ALIMENTADORA CHACARA DO BANCO,,3,,007FD9,000000
255,EPTC,255,CALDRE FIAO,,3,,05D600,000000
251,EPTC,251,ALPES,,3,,007FD9,000000
263,EPTC,263,ORFANOTROFIO,,3,,007FD9,000000
264,EPTC,264,PRADO,,3,,007FD9,000000
2723,EPTC,2723,HIPICA (GEDEON LEITE),,3,,007FD9,000000
A741,EPTC,A741,ALIMENTADORA JARDIM CASCATA,,3,,007FD9,000000
285,EPTC,285,NONOAI,,3,,007FD9,000000
A862,EPTC,A862,ALIMENTADORA BELÉM VELHO / UFRGS,,3,,007FD9,000000
3144,EPTC,3144,PITINGA / PUC / III PERIMETRAL,,3,,05D600,000000
348,EPTC,348,JARDIM BENTO GONCALVES,,3,,05D600,000000
394,EPTC,394,M A P A,,3,,05D600,000000
397,EPTC,397,BONSUCESSO,,3,,05D600,000000
A321,EPTC,A321,ALIMENTADORA BONSUCESSO / PARADA 13,,3,,05D600,000000
R32,EPTC,R32,RAPIDA  -  BONSUCESSO,,3,,05D600,000000
430,EPTC,430,BELA VISTA  /  ANITA,,3,,05D600,000000
497,EPTC,497,MARIO QUINTANA,,3,,05D600,000000
615,EPTC,615,SARANDI,,3,,FF0000,000000
7315,EPTC,7315,PARQUE DOS MAIAS  /  SERTÓRIO  /  TRENSURB,,3,,FF0000,000000
TR60,EPTC,TR60,TRONCAL TRI‘NGULO,,3,,FF0000,000000
2821,EPTC,2821,PEREIRA PASSOS,,3,,007FD9,000000
A1,EPTC,A1,ALIMENTADORA ESCOLAR A1,,3,,007FD9,000000
