stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1140,,CRISTIANO KRAEMER 87,,-30.117728,-51.206618
1234,,NONOAI 248/260,,-30.086557,-51.215723
1017,,NONOAI 1438,,-30.093093,-51.223299
1233,,NONOAI AL 247,,-30.086536,-51.215805
1243,,NONOAI 11,,-30.084967,-51.214736
6256,,TERESOPOLIS 3690,,-30.084142,-51.214063
5328,,SENADOR SALGADO FILHO 133,,-30.03088,-51.226214
6132,,TRAMANDAI 850,,-30.136471,-51.225864
668,,TRAMANDAI 899,,-30.136702,-51.225795
1148,,CRISTIANO KRAEMER DF 551,,-30.120225,-51.202654
6258,,RETIRO DA PONTA GROSSA ,,-30.184867,-51.203182
6027,,FREDERICO MENTZ AL 241,,-29.981352,-51.197313
2237,,IPIRANGA 3420,,-30.04879,-51.195843
5179,,IPIRANGA DF 3161,,-30.047393,-51.196809
6255,,FREDERICO MENTZ ,,-29.979879,-51.196849
365,,EDGAR PIRES DE CASTRO 9762,,-30.198709,-51.126795
372,,EDGAR PIRES DE CASTRO 10125,,-30.20223,-51.120019
373,,EDGAR PIRES DE CASTRO 10190,,-30.202161,-51.119994
379,,EDGAR PIRES DE CASTRO 9100,,-30.194267,-51.129891
353,,EDGAR PIRES DE CASTRO 6902,,-30.18674,-51.13686
352,,EDGAR PIRES DE CASTRO 7137,,-30.186848,-51.136885
347,,EDGAR PIRES DE CASTRO 6849,,-30.184416,-51.138865
386,,EDGAR PIRES DE CASTRO 6000,,-30.178429,-51.14284
384,,EDGAR PIRES DE CASTRO 5408,,-30.174335,-51.146887
336,,EDGAR PIRES DE CASTRO DF 3747,,-30.16278,-51.156421
337,,EDGAR PIRES DE CASTRO 3747,,-30.162665,-51.156723
325,,EDGAR PIRES DE CASTRO 3360,,-30.160656,-51.159845
321,,EDGAR PIRES DE CASTRO 2653,,-30.156405,-51.164801
5887,,OSWALDO PEREIRA DE FREITAS 175,,-30.06027,-51.162936
6036,,IPIRANGA HOSPITAL DA PUC,,-30.055866,-51.172713
3832,,ESTADOS 1545,,-29.98423,-51.180448
71,,RETIRO DA PONTA GROSSA 3605,,-30.184903,-51.209868
5902,,EDGAR PIRES DE CASTRO 2600,,-30.156342,-51.164974
5303,,EDGAR PIRES DE CASTRO AL 2069,,-30.156173,-51.170047
288,,EDGAR PIRES DE CASTRO 1405,,-30.15525,-51.176887
280,,EDGAR PIRES DE CASTRO 967,,-30.155642,-51.18195
154,,EDGAR PIRES DE CASTRO 420,,-30.156613,-51.187003
150,,EDGAR PIRES DE CASTRO DF 202,,-30.158073,-51.189046
6254,,AFONSO ALVARES 65,,-30.113685,-51.254242
