service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_C3-Sunday,0,0,0,0,0,0,1,20130630,20130902
MQ_C3-Weekday-SDon,1,1,1,1,1,0,0,20130701,20130906
MQ_C3-Saturday,0,0,0,0,0,1,0,20130704,20130907
MV_C3-Sunday,0,0,0,0,0,0,1,20130630,20130902
MV_C3-Weekday-SDon,1,1,1,1,1,0,0,20130701,20130906
MV_C3-Saturday,0,0,0,0,0,1,0,20130704,20130907
OH_C3-Sunday,0,0,0,0,0,0,1,20130630,20130902
OH_C3-Weekday-SDon,1,1,1,1,1,0,0,20130701,20130906
OH_C3-Saturday,0,0,0,0,0,1,0,20130704,20130907
OS_C3-Sunday,0,0,0,0,0,0,1,20130630,20130902
OS_C3-Weekday-SDon,1,1,1,1,1,0,0,20130701,20130906
OS_C3-Saturday,0,0,0,0,0,1,0,20130704,20130907
