shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010120,40.7306159649,-73.9905041978,10001
M010120,40.7308188009,-73.9904926229,10002
M010120,40.7312881447,-73.9903915281,10003
M010120,40.7319962748,-73.9902110171,10004
M010120,40.7327565545,-73.9900268863,10005
M010120,40.7335250702,-73.9898680079,10006
M010120,40.7339532488,-73.9898426848,10007
M010120,40.7343045794,-73.989875106,10008
M010120,40.7344720144,-73.9899364218,10009
M010120,40.7349935251,-73.9900337682,10010
M010120,40.7352295721,-73.9900192995,10011
M010120,40.7353475875,-73.9899182478,10012
M010120,40.735601734,-73.9897240789,10013
M010120,40.735601734,-73.9897240789,20001
M010120,40.7356165546,-73.9897125299,20002
M010120,40.7359184589,-73.9895140219,20003
M010120,40.7359870723,-73.9894562768,20004
M010120,40.7362148697,-73.9892758205,20005
M010120,40.7365442177,-73.9890448284,20006
M010120,40.73660734,-73.9889726495,20007
M010120,40.7371480169,-73.9885792384,20008
M010120,40.7377326057,-73.9881605537,20009
M010120,40.7383171915,-73.9877274275,20010
M010120,40.7389017763,-73.9873015109,20011
M010120,40.7395220384,-73.9868503197,20012
M010120,40.7401862107,-73.9863666335,20013
M010120,40.7405413498,-73.9861070997,20014
M010120,40.7405413498,-73.9861070997,30001
M010120,40.7408531252,-73.9858793284,30002
M010120,40.7414678921,-73.985428112,30003
M010120,40.7420966173,-73.9869147686,30004
M010120,40.7421405491,-73.9870555002,30005
M010120,40.7427717881,-73.9865970651,30006
M010120,40.7433893023,-73.9861458416,30007
M010120,40.7440068147,-73.9856946098,30008
M010120,40.74423351,-73.9855296372,30009
M010120,40.74423351,-73.9855296372,40001
M010120,40.74462707,-73.9852433691,40002
M010120,40.745241834,-73.9847921212,40003
M010120,40.7458593414,-73.9843444732,40004
M010120,40.746476847,-73.983896817,40005
M010120,40.7470970951,-73.9834455427,40006
M010120,40.7477639966,-73.9829581579,40007
M010120,40.7479248211,-73.982840823,40008
M010120,40.7479248211,-73.982840823,50001
M010120,40.748430896,-73.9824707633,50002
M010120,40.7490483947,-73.9820266815,50003
M010120,40.7496658899,-73.9815717641,50004
M010120,40.7502806396,-73.9811240573,50005
M010120,40.7509036212,-73.9806727307,50006
M010120,40.7515211115,-73.9802213973,50007
M010120,40.7521413447,-73.9797700547,50008
M010120,40.7527999966,-73.979286208,50009
M010120,40.7529289823,-73.9791908821,50010
M010120,40.7529289823,-73.9791908821,60001
M010120,40.7534778563,-73.9787842989,60002
