stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
400001,"4 AV/E 9 ST",,  40.730614, -73.990433,,,0,
400002,"4 AV/E 12 ST",,  40.732609, -73.989960,,,0,
400003,"4 AV/E 13 ST",,  40.733936, -73.989723,,,0,
400007,"PARK AV S/E 21 ST",,  40.738976, -73.987053,,,0,
400026,"MADISON AV/EAST 63 ST",,  40.766273, -73.969330,,,0,
400027,"MADISON AV/E 65 ST",,  40.767582, -73.968376,,,0,
400028,"MADISON AV/E 67 ST",,  40.768814, -73.967484,,,0,
400029,"MADISON AV/E 69 ST",,  40.770077, -73.966560,,,0,
400030,"MADISON AV/E 72 ST",,  40.772148, -73.965050,,,0,
400032,"MADISON AV/E 77 ST",,  40.775322, -73.962738,,,0,
400033,"MADISON AV/E 79 ST",,  40.776695, -73.961731,,,0,
400034,"MADISON AV/E 83 ST",,  40.778793, -73.960205,,,0,
400036,"MADISON AV/E 86 ST",,  40.781155, -73.958481,,,0,
400037,"MADISON AV/E 89 ST",,  40.782677, -73.957375,,,0,
400038,"MADISON AV/E 91 ST",,  40.784359, -73.956139,,,0,
400039,"MADISON AV/E 93 ST",,  40.785637, -73.955208,,,0,
400041,"MADISON AV/E 98 ST",,  40.788414, -73.953178,,,0,
400042,"MADISON AV/E 101 ST",,  40.790302, -73.951797,,,0,
400043,"MADISON AV/E 102 ST",,  40.791370, -73.951019,,,0,
400044,"MADISON AV/E 104 ST",,  40.792160, -73.950447,,,0,
400045,"MADISON AV/E 106 ST",,  40.793434, -73.949509,,,0,
400046,"MADISON AV/E 107 ST",,  40.794552, -73.948692,,,0,
400047,"MADISON AV/E 109 ST",,  40.795815, -73.947777,,,0,
400048,"MADISON AV/E 111 ST",,  40.797024, -73.946892,,,0,
400050,"MADISON AV/E 115 ST",,  40.799541, -73.945053,,,0,
400051,"MADISON AV/E 118 ST",,  40.801506, -73.943619,,,0,
400053,"MADISON AV/E 123 ST",,  40.804649, -73.941376,,,0,
400054,"MADISON AV/E 125 ST",,  40.806015, -73.940346,,,0,
400055,"MADISON AV/E 127 ST",,  40.807247, -73.939461,,,0,
400056,"MADISON AV/E 129 ST",,  40.808510, -73.938538,,,0,
400057,"MADISON AV/E 132 ST",,  40.810429, -73.937111,,,0,
400059,"5 AV/E 135 ST",,  40.813126, -73.937225,,,0,
400060,"5 AV/E 138 ST",,  40.814465, -73.936249,,,0,
400061,"W 139 ST/5 AV",,  40.815617, -73.936279,,,0,
400062,"MALCOLM X BL/W 139 ST",,  40.816940, -73.938614,,,0,
400065,"MALCOLM X BL/W 145 ST",,  40.820679, -73.935875,,,0,
400066,"W 147 ST/MALCOLM X BL",,  40.821964, -73.935730,,,0,
400067,"W 147 ST/ADAM C POWELL BL",,  40.822865, -73.937859,,,0,
400069,"GREENWICH ST/MORRIS ST",,  40.706024, -74.014305,,,0,
400070,"TRINITY PL/RECTOR ST",,  40.708008, -74.012711,,,0,
400071,"CHURCH ST/LIBERTY ST",,  40.710014, -74.011360,,,0,
400087,"W 146 ST/MALCOLM X BL",,  40.821152, -73.935974,,,0,
400088,"MALCOLM X BL/W 145 ST",,  40.820152, -73.936607,,,0,
400089,"MALCOLM X BL/W 142 ST",,  40.818249, -73.938004,,,0,
400091,"W 139 ST/MALCOLM X BL",,  40.816380, -73.938744,,,0,
400092,"5 AV/W 138 ST",,  40.815201, -73.935982,,,0,
400093,"5 AV/W 137 ST",,  40.813793, -73.937004,,,0,
400094,"5 AV/W 135 ST",,  40.812366, -73.938042,,,0,
400095,"5 AV/W 132 ST",,  40.810619, -73.939285,,,0,
400096,"5 AV/W 130 ST",,  40.809345, -73.940208,,,0,
400097,"5 AV/W 128 ST",,  40.808075, -73.941139,,,0,
400098,"5 AV/W 125 ST",,  40.806137, -73.942558,,,0,
400099,"MT MORRIS PK W/W 124 ST",,  40.806190, -73.944603,,,0,
400100,"MT MORRIS PK W/W 121 ST",,  40.804607, -73.945763,,,0,
400101,"W 120 ST/5 AV",,  40.803219, -73.944672,,,0,
400102,"5 AV/W 118 ST",,  40.801693, -73.945839,,,0,
400103,"5 AV/W 116 ST",,  40.800354, -73.946815,,,0,
400105,"5 AV/W 112 ST",,  40.797874, -73.948639,,,0,
400107,"5 AV/EAST 109 ST",,  40.796535, -73.949570,,,0,
400108,"5 AV/EAST 108 ST",,  40.795513, -73.950317,,,0,
400109,"5 AV/EAST 106 ST",,  40.794178, -73.951286,,,0,
400110,"5 AV/EAST 104 ST",,  40.793072, -73.952095,,,0,
400111,"5 AV/EAST 102 ST",,  40.791569, -73.953178,,,0,
400115,"5 AV/EAST 94 ST",,  40.786560, -73.956863,,,0,
