route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M50,MQ_C3-Weekday,MQ_C3-Weekday-027800_M50_1,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-030300_M50_2,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-031800_M50_3,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-033300_M50_1,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-034800_M50_4,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-036300_M50_2,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-037800_M50_3,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-039300_M50_1,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-040800_M50_4,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-042300_M50_2,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-043800_M50_5,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-045300_M50_3,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-046800_M50_1,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-048300_M50_4,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-049800_M50_2,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-051300_M50_5,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-052800_M50_6,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-054300_M50_1,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-055800_M50_4,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-057300_M50_3,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-058800_M50_7,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-060300_M50_5,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-061800_M50_6,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-063300_M50_2,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-065300_M50_3,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-067300_M50_7,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-069300_M50_8,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-071300_M50_6,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-073300_M50_2,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-075300_M50_3,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-077300_M50_9,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-079300_M50_8,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-081300_M50_7,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-083300_M50_10,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-085300_M50_1,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-086800_M50_9,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-088300_M50_4,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-089800_M50_5,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-091300_M50_7,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-092800_M50_10,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-094300_M50_1,E 49 ST & 1 AV,0,M500038
M50,MQ_C3-Weekday,MQ_C3-Weekday-030500_M50_1,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-033500_M50_2,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-035500_M50_3,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-037000_M50_1,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-038500_M50_4,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-040000_M50_2,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-041500_M50_3,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-043000_M50_1,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-044500_M50_4,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-046000_M50_2,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-047500_M50_5,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-049000_M50_3,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-050500_M50_1,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-052000_M50_4,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
M50,MQ_C3-Weekday,MQ_C3-Weekday-053500_M50_2,WEST SIDE 42 ST PIER CROSSTOWN,1,M500040
